year,state,blood_type,donations
2017,Sabah,a,7518
2017,Sabah,ab,1634
2017,Sabah,all,33767
2017,Sabah,b,8221
2017,Sabah,o,16394
2017,Sarawak,a,9048
2017,Sarawak,ab,2517
2017,Sarawak,all,36617
2017,Sarawak,b,10420
2017,Sarawak,o,14632
2017,Selangor,a,6398
2017,Selangor,ab,1707
2017,Selangor,all,26016
2017,Selangor,b,7203
2017,Selangor,o,10707
2017,Terengganu,a,3929
2017,Terengganu,ab,1104
2017,Terengganu,all,15684
2017,Terengganu,b,4491
2017,Terengganu,o,6160
2017,W.P. Kuala Lumpur,a,45901
2017,W.P. Kuala Lumpur,ab,10818
2017,W.P. Kuala Lumpur,all,180602
2017,W.P. Kuala Lumpur,b,49103
2017,W.P. Kuala Lumpur,o,74772
2018,Johor,a,8969
2018,Johor,ab,1968
2018,Johor,all,36684
2018,Johor,b,9846
2018,Johor,o,15901
2018,Kedah,a,15399
2018,Kedah,ab,4305
2018,Kedah,all,61869
2018,Kedah,b,17389
2018,Kedah,o,24776
2018,Kelantan,a,3888
2018,Kelantan,ab,999
2018,Kelantan,all,14508
2018,Kelantan,b,3981
2018,Kelantan,o,5640
2018,Melaka,a,7678
2018,Melaka,ab,1896
2018,Melaka,all,30170
2018,Melaka,b,7947
2018,Melaka,o,12649
2018,Negeri Sembilan,a,4107
2018,Negeri Sembilan,ab,1041
2018,Negeri Sembilan,all,16976
2018,Negeri Sembilan,b,4676
2018,Negeri Sembilan,o,7152
2018,Pahang,a,1799
2018,Pahang,ab,466
2018,Pahang,all,7095
2018,Pahang,b,1940
2018,Pahang,o,2890
2018,Perak,a,10748
2018,Perak,ab,2861
2018,Perak,all,44062
2018,Perak,b,12063
2018,Perak,o,18390
2018,Pulau Pinang,a,11016
2018,Pulau Pinang,ab,2806
2018,Pulau Pinang,all,43769
2018,Pulau Pinang,b,11842
2018,Pulau Pinang,o,18105
2018,Sabah,a,7628
2018,Sabah,ab,1599
2018,Sabah,all,33850
2018,Sabah,b,8132
2018,Sabah,o,16491
2018,Sarawak,a,8959
2018,Sarawak,ab,2659
2018,Sarawak,all,37290
2018,Sarawak,b,10577
2018,Sarawak,o,15095
2018,Selangor,a,6569
2018,Selangor,ab,1711
2018,Selangor,all,26932
2018,Selangor,b,7329
2018,Selangor,o,11323
2018,Terengganu,a,4329
2018,Terengganu,ab,1266
2018,Terengganu,all,17873
2018,Terengganu,b,5123
2018,Terengganu,o,7154
2018,W.P. Kuala Lumpur,a,49010
2018,W.P. Kuala Lumpur,ab,11660
2018,W.P. Kuala Lumpur,all,194026
2018,W.P. Kuala Lumpur,b,52605
2018,W.P. Kuala Lumpur,o,80740
2019,Johor,a,10277
2019,Johor,ab,2128
2019,Johor,all,41261
2019,Johor,b,11043
2019,Johor,o,17813
2019,Kedah,a,10539
2019,Kedah,ab,2869
2019,Kedah,all,42506
2019,Kedah,b,11979
2019,Kedah,o,17119
2019,Kelantan,a,3067
2019,Kelantan,ab,801
2019,Kelantan,all,11583
2019,Kelantan,b,3046
2019,Kelantan,o,4669
2019,Melaka,a,7790
2019,Melaka,ab,1835
2019,Melaka,all,30233
2019,Melaka,b,7790
2019,Melaka,o,12818
2019,Negeri Sembilan,a,4463
2019,Negeri Sembilan,ab,1082
2019,Negeri Sembilan,all,18306
2019,Negeri Sembilan,b,4965
2019,Negeri Sembilan,o,7796
2019,Pahang,a,3872
2019,Pahang,ab,1035
2019,Pahang,all,15810
2019,Pahang,b,4447
2019,Pahang,o,6456
2019,Perak,a,10354
2019,Perak,ab,2573
2019,Perak,all,41032
2019,Perak,b,11159
2019,Perak,o,16946
2019,Pulau Pinang,a,10885
2019,Pulau Pinang,ab,2803
2019,Pulau Pinang,all,43448
2019,Pulau Pinang,b,11353
2019,Pulau Pinang,o,18407
2019,Sabah,a,8122
2019,Sabah,ab,1686
2019,Sabah,all,36156
2019,Sabah,b,8677
2019,Sabah,o,17671
2019,Sarawak,a,9055
2019,Sarawak,ab,2650
2019,Sarawak,all,37567
2019,Sarawak,b,10829
2019,Sarawak,o,15033
2019,Selangor,a,6842
2019,Selangor,ab,1810
2019,Selangor,all,28065
2019,Selangor,b,7576
2019,Selangor,o,11836
2019,Terengganu,a,3931
2019,Terengganu,ab,1164
2019,Terengganu,all,16304
2019,Terengganu,b,4631
2019,Terengganu,o,6578
2019,W.P. Kuala Lumpur,a,50198
2019,W.P. Kuala Lumpur,ab,11353
2019,W.P. Kuala Lumpur,all,198506
2019,W.P. Kuala Lumpur,b,53934
2019,W.P. Kuala Lumpur,o,83009
2020,Johor,a,9924
2020,Johor,ab,2093
2020,Johor,all,40705
2020,Johor,b,10996
2020,Johor,o,17692
2020,Kedah,a,4647
2020,Kedah,ab,1272
2020,Kedah,all,18876
2020,Kedah,b,5286
2020,Kedah,o,7671
2020,Kelantan,a,3401
2020,Kelantan,ab,865
2020,Kelantan,all,12757
2020,Kelantan,b,3364
2020,Kelantan,o,5127
2020,Melaka,a,7072
2020,Melaka,ab,1690
2020,Melaka,all,27536
2020,Melaka,b,7316
2020,Melaka,o,11458
2020,Negeri Sembilan,a,3988
2020,Negeri Sembilan,ab,983
2020,Negeri Sembilan,all,16398
2020,Negeri Sembilan,b,4528
2020,Negeri Sembilan,o,6899
2020,Pahang,a,5720
2020,Pahang,ab,1379
2020,Pahang,all,22155
2020,Pahang,b,6270
2020,Pahang,o,8786
2020,Perak,a,9919
2020,Perak,ab,2558
2020,Perak,all,40086
2020,Perak,b,10924
2020,Perak,o,16685
2020,Pulau Pinang,a,9035
2020,Pulau Pinang,ab,2202
2020,Pulau Pinang,all,36512
2020,Pulau Pinang,b,9807
2020,Pulau Pinang,o,15468
2020,Sabah,a,7576
2020,Sabah,ab,1685
2020,Sabah,all,34069
2020,Sabah,b,8236
2020,Sabah,o,16572
2020,Sarawak,a,7923
2020,Sarawak,ab,2277
2020,Sarawak,all,33960
2020,Sarawak,b,9684
2020,Sarawak,o,14076
2020,Selangor,a,7117
