state,year_month,pledges
Negeri Sembilan,2020-04-01,3
Negeri Sembilan,2020-05-01,8
Negeri Sembilan,2020-06-01,4
Negeri Sembilan,2020-07-01,4
Negeri Sembilan,2020-08-01,1
Negeri Sembilan,2020-09-01,9
Negeri Sembilan,2020-10-01,73
Negeri Sembilan,2020-11-01,2
Negeri Sembilan,2020-12-01,4
Negeri Sembilan,2021-01-01,8
Negeri Sembilan,2021-02-01,1
Negeri Sembilan,2021-03-01,3
Negeri Sembilan,2021-04-01,3
Negeri Sembilan,2021-05-01,13
Negeri Sembilan,2021-06-01,27
Negeri Sembilan,2021-07-01,8
Negeri Sembilan,2021-08-01,50
Negeri Sembilan,2021-09-01,31
Negeri Sembilan,2021-10-01,40
Negeri Sembilan,2021-11-01,74
Negeri Sembilan,2021-12-01,35
Negeri Sembilan,2022-01-01,58
Negeri Sembilan,2022-02-01,110
Negeri Sembilan,2022-03-01,134
Negeri Sembilan,2022-04-01,63
Negeri Sembilan,2022-05-01,68
Negeri Sembilan,2022-06-01,86
Negeri Sembilan,2022-07-01,59
Negeri Sembilan,2022-08-01,77
Negeri Sembilan,2022-09-01,472
Negeri Sembilan,2022-10-01,532
Negeri Sembilan,2022-11-01,267
Negeri Sembilan,2022-12-01,174
Negeri Sembilan,2023-01-01,184
Negeri Sembilan,2023-02-01,93
Negeri Sembilan,2023-03-01,115
Negeri Sembilan,2023-04-01,144
Negeri Sembilan,2023-05-01,121
